attribute;type;missing_or_unknown;information_level
KBA13_ALTERHALTER_61;ordinal;[-1];plz8
KBA13_ANZAHL_PKW;numeric;[];plz8
KBA13_AUDI;ordinal;[-1];plz8
KBA13_AUTOQUOTE;ordinal;[-1];plz8
KBA13_BJ_1999;ordinal;[-1];plz8
KBA13_BJ_2000;ordinal;[-1];plz8
KBA13_BJ_2004;ordinal;[-1];plz8
KBA13_BJ_2006;ordinal;[-1];plz8
KBA13_BJ_2008;ordinal;[-1];plz8
KBA13_BJ_2009;ordinal;[-1];plz8
KBA13_BMW;ordinal;[-1];plz8
KBA13_CCM_1000;ordinal;[-1];plz8
KBA13_CCM_1200;ordinal;[-1];plz8
KBA13_CCM_1400;ordinal;[-1];plz8
KBA13_CCM_0_1400;ordinal;[-1];plz8
KBA13_CCM_1500;ordinal;[-1];plz8
KBA13_CCM_1600;ordinal;[-1];plz8
KBA13_CCM_1800;ordinal;[-1];plz8
KBA13_CCM_2000;ordinal;[-1];plz8
KBA13_CCM_2500;ordinal;[-1];plz8
KBA13_CCM_2501;ordinal;[-1];plz8
KBA13_CCM_3000;ordinal;[-1];plz8
KBA13_CCM_3001;ordinal;[-1];plz8
KBA13_FAB_ASIEN;ordinal;[-1];plz8
KBA13_FAB_SONSTIGE;ordinal;[-1];plz8
KBA13_FIAT;ordinal;[-1];plz8
KBA13_FORD;ordinal;[-1];plz8
KBA13_HALTER_20;ordinal;[-1];plz8
KBA13_HALTER_25;ordinal;[-1];plz8
KBA13_HALTER_30;ordinal;[-1];plz8
KBA13_HALTER_35;ordinal;[-1];plz8
KBA13_HALTER_40;ordinal;[-1];plz8
KBA13_HALTER_45;ordinal;[-1];plz8
KBA13_HALTER_50;ordinal;[-1];plz8
KBA13_HALTER_55;ordinal;[-1];plz8
KBA13_HALTER_60;ordinal;[-1];plz8
KBA13_HALTER_65;ordinal;[-1];plz8
KBA13_HALTER_66;ordinal;[-1];plz8
KBA13_HERST_ASIEN;ordinal;[-1];plz8
KBA13_HERST_AUDI_VW;ordinal;[-1];plz8
KBA13_HERST_BMW_BENZ;ordinal;[-1];plz8
KBA13_HERST_EUROPA;ordinal;[-1];plz8
KBA13_HERST_FORD_OPEL;ordinal;[-1];plz8
KBA13_HERST_SONST;ordinal;[-1];plz8
KBA13_KMH_110;ordinal;[-1];plz8
KBA13_KMH_140;ordinal;[-1];plz8
KBA13_KMH_180;ordinal;[-1];plz8
KBA13_KMH_0_140;ordinal;[-1];plz8
KBA13_KMH_140_210;ordinal;[-1];plz8
KBA13_KMH_211;ordinal;[-1];plz8
KBA13_KMH_250;ordinal;[-1];plz8
KBA13_KMH_251;ordinal;[-1];plz8
KBA13_KRSAQUOT;ordinal;[-1];plz8
KBA13_KRSHERST_AUDI_VW;ordinal;[-1];plz8
KBA13_KRSHERST_BMW_BENZ;ordinal;[-1];plz8
KBA13_KRSHERST_FORD_OPEL;ordinal;[-1];plz8
KBA13_KRSSEG_KLEIN;ordinal;[-1];plz8
KBA13_KRSSEG_OBER;ordinal;[-1];plz8
KBA13_KRSSEG_VAN;ordinal;[-1];plz8
KBA13_KRSZUL_NEU;ordinal;[-1];plz8
KBA13_KW_30;ordinal;[-1];plz8
KBA13_KW_40;ordinal;[-1];plz8
KBA13_KW_50;ordinal;[-1];plz8
KBA13_KW_60;ordinal;[-1];plz8
KBA13_KW_0_60;ordinal;[-1];plz8
KBA13_KW_70;ordinal;[-1];plz8
KBA13_KW_61_120;ordinal;[-1];plz8
KBA13_KW_80;ordinal;[-1];plz8
KBA13_KW_90;ordinal;[-1];plz8
KBA13_KW_110;ordinal;[-1];plz8
KBA13_KW_120;ordinal;[-1];plz8
KBA13_KW_121;ordinal;[-1];plz8
KBA13_MAZDA;ordinal;[-1];plz8
KBA13_MERCEDES;ordinal;[-1];plz8
KBA13_MOTOR;ordinal;[-1];plz8
KBA13_NISSAN;ordinal;[-1];plz8
KBA13_OPEL;ordinal;[-1];plz8
KBA13_PEUGEOT;ordinal;[-1];plz8
KBA13_RENAULT;ordinal;[-1];plz8
KBA13_SEG_GELAENDEWAGEN;ordinal;[-1];plz8
KBA13_SEG_GROSSRAUMVANS;ordinal;[-1];plz8
KBA13_SEG_KLEINST;ordinal;[-1];plz8
KBA13_SEG_KLEINWAGEN;ordinal;[-1];plz8
KBA13_SEG_KOMPAKTKLASSE;ordinal;[-1];plz8
KBA13_SEG_MINIVANS;ordinal;[-1];plz8
KBA13_SEG_MINIWAGEN;ordinal;[-1];plz8
KBA13_SEG_MITTELKLASSE;ordinal;[-1];plz8
KBA13_SEG_OBEREMITTELKLASSE;ordinal;[-1];plz8
KBA13_SEG_OBERKLASSE;ordinal;[-1];plz8
KBA13_SEG_SONSTIGE;ordinal;[-1];plz8
KBA13_SEG_SPORTWAGEN;ordinal;[-1];plz8
KBA13_SEG_UTILITIES;ordinal;[-1];plz8
KBA13_SEG_VAN;ordinal;[-1];plz8
KBA13_SEG_WOHNMOBILE;ordinal;[-1];plz8
KBA13_SITZE_4;ordinal;[-1];plz8
KBA13_SITZE_5;ordinal;[-1];plz8
KBA13_SITZE_6;ordinal;[-1];plz8
KBA13_TOYOTA;ordinal;[-1];plz8
KBA13_VORB_0;ordinal;[-1];plz8
KBA13_VORB_1;ordinal;[-1];plz8
KBA13_VORB_1_2;ordinal;[-1];plz8
KBA13_VORB_2;ordinal;[-1];plz8
KBA13_VORB_3;ordinal;[-1];plz8
KBA13_VW;ordinal;[-1];plz8
KKK;ordinal;[-1,0];rr1_id
KONSUMNAEHE;ordinal;[];building
LP_FAMILIE_FEIN;categorical;[0];person
LP_FAMILIE_GROB;categorical;[0];person
LP_LEBENSPHASE_FEIN;mixed;[0];person
LP_LEBENSPHASE_GROB;mixed;[0];person
LP_STATUS_FEIN;categorical;[0];person
LP_STATUS_GROB;categorical;[0];person
MIN_GEBAEUDEJAHR;numeric;[];building
MOBI_REGIO;ordinal;[];rr1_id
NATIONALITAET_KZ;categorical;[-1,0];person
ONLINE_AFFINITAET;ordinal;[];rr1_id
ORTSGR_KLS9;ordinal;[-1];community
OST_WEST_KZ;categorical;[-1];building
PLZ8_ANTG1;ordinal;[-1];plz8
PLZ8_ANTG2;ordinal;[-1];plz8
PLZ8_ANTG3;ordinal;[-1];plz8
PLZ8_ANTG4;ordinal;[-1];plz8
PLZ8_BAUMAX;mixed;[];plz8
PLZ8_GBZ;ordinal;[-1];plz8
PLZ8_HHZ;ordinal;[-1];plz8
PRAEGENDE_JUGENDJAHRE;mixed;[-1,0];person
REGIOTYP;ordinal;[-1,0];rr1_id
RELAT_AB;ordinal;[-1,9];community
RETOURTYP_BK_S;ordinal;[0];person
SEMIO_DOM;ordinal;[-1,9];person
SEMIO_ERL;ordinal;[-1,9];person
SEMIO_FAM;ordinal;[-1,9];person
SEMIO_KAEM;ordinal;[-1,9];person
SEMIO_KRIT;ordinal;[-1,9];person
SEMIO_KULT;ordinal;[-1,9];person
SEMIO_LUST;ordinal;[-1,9];person
SEMIO_MAT;ordinal;[-1,9];person
SEMIO_PFLICHT;ordinal;[-1,9];person
SEMIO_RAT;ordinal;[-1,9];person
SEMIO_REL;ordinal;[-1,9];person
SEMIO_SOZ;ordinal;[-1,9];person
SEMIO_TRADV;ordinal;[-1,9];person
SEMIO_VERT;ordinal;[-1,9];person
SHOPPER_TYP;categorical;[-1];person
TITEL_KZ;categorical;[-1,0];person
VERS_TYP;categorical;[-1];person
WOHNDAUER_2008;ordinal;[-1,0];household
WOHNLAGE;mixed;[-1];building
W_KEIT_KIND_HH;ordinal;[-1,0];household
ZABEOTYP;categorical;[-1,9];person
ARBEIT;ordinal;[-1,9];community
AKT_DAT_KL;categorical;[];unknown
ALTERSKATEGORIE_FEIN;categorical;[-1,0];person
ALTER_KIND1;numeric;[];unknown
ALTER_KIND2;numeric;[];unknown
ALTER_KIND3;numeric;[];unknown
ALTER_KIND4;numeric;[];unknown
ANZ_KINDER;numeric;[];unknown
ANZ_STATISTISCHE_HAUSHALTE;numeric;[];unknown
CJT_KATALOGNUTZER;categorical;[];unknown
CJT_TYP_1;categorical;[];unknown
CJT_TYP_2;categorical;[];unknown
CJT_TYP_3;categorical;[];unknown
CJT_TYP_4;categorical;[];unknown
CJT_TYP_5;categorical;[];unknown
CJT_TYP_6;categorical;[];unknown
D19_KONSUMTYP_MAX;categorical;[];household
D19_SOZIALES;categorical;[0];grid_125_125
D19_TELKO_ONLINE_QUOTE_12;ordinal;[10];household
D19_VERSI_DATUM;ordinal;[10];household
D19_VERSI_OFFLINE_DATUM;ordinal;[10];household
D19_VERSI_ONLINE_DATUM;ordinal;[10];household
D19_VERSI_ONLINE_QUOTE_12;ordinal;[];household
DSL_FLAG;categorical;[];unknown
EINGEZOGENAM_HH_JAHR;numeric;[];unknown
EXTSEL992;numeric;[];unknown
FIRMENDICHTE;categorical;[];unknown
HH_DELTA_FLAG;categorical;[];unknown
KBA13_ANTG1;ordinal;[-1];plz8
KBA13_ANTG2;ordinal;[-1];plz8
KBA13_ANTG3;ordinal;[-1];plz8
KBA13_ANTG4;ordinal;[-1];plz8
KBA13_CCM_1401_2500;ordinal;[-1];plz8
KBA13_GBZ;ordinal;[-1,0];unknown
KBA13_HHZ;ordinal;[-1];unknown
KBA13_KMH_210;ordinal;[-1];plz8
KOMBIALTER;categorical;[9];unknown
KONSUMZELLE;categorical;[];unknown
MOBI_RASTER;categorical;[];unknown
RT_KEIN_ANREIZ;categorical;[];unknown
RT_SCHNAEPPCHEN;categorical;[];unknown
RT_UEBERGROESSE;categorical;[];unknown
SOHO_KZ;categorical;[];person
STRUKTURTYP;categorical;[];household
UMFELD_ALT;categorical;[];unknown
UMFELD_JUNG;categorical;[];unknown
UNGLEICHENN_FLAG;categorical;[];unknown
VERDICHTUNGSRAUM;numeric;[];unknown
VHA;categorical;[];unknown
VHN;categorical;[];unknown
VK_DHT4A;numeric;[];unknown
VK_DISTANZ;numeric;[];unknown
VK_ZG11;numeric;[];unknown
KBA13_BAUMAX;mixed;[-1,0];plz8
GEMEINDETYP;categorical;[];unknown
